Punjabi	పంజాబీ
Devata	దేవత
Bashevis	బెషెవిస్
Balam	బలం
Sunetra	సునేత్ర
Dokka	డొక్కా
Raymonds	రేమండ్స్‌
Pally	పల్లి
Pasunuri	పసునూరి
Amul	అమూల్
Minar	మీనార్
Govindudu	గోవిందుడు
Sachar	సచార్
Sarus	సరస్సు
Karthavyam	కర్తవ్యం
Sorlagondi	సొర్లగొంది
Yasutaro	యసుటారో
Nadal	నాదల్
Indrakaran	ఇంద్రకరణ్
Assam	అస్సాం
Yedapally	ఎడపల్లి
Pepper	పెప్పర్
Pandaga	పండగ
Lodi	లోడి
Desamuduru	దేశముదురు
Narasa	నరస
bang	బ్యాంగ్
Hassium	హాసియం
Indium	ఇండియం
Henry	హెన్రీ
Ride	రైడ్
Hema	హేమ
Vachina	వచ్చిన
Adwaita	అద్వైత
Bungee	బంగీ
Marx	మార్క్స్
Kolla	కొల్లా
Gadde	గద్దె
Damaragidda	దామరగిద్ద
Warfarin	వార్ఫరిన్
Carthamus	కార్థమస్
Kotturu	కొత్తూరు
Shalwar	సల్వార్
Kadiri	కదిరి
Navajivan	నవజీవన్
Nenoddantana	నేనొద్దంటానా
Bradycardia	బ్రాడీకార్డియా
Sigma	సిగ్మా
Rajput	రాజ్‌పుత్
Priyuralu	ప్రియురాలు
Rosewood	రోజ్‌వుడ్
Arjan	అర్జన్
De	డే
Bula	బులా
Mechanical	మెకానికల్
Oasis	ఒయాసిస్సు
Bromine	బ్రోమిన్
Jagathrakshakan	జగద్రక్షకన్
Baltimore	బాల్టిమోర్
Katta	కట్టా
Yesudas	ఏసుదాసు
Pedaravuru	పెదరావూరు
Carta	కార్టా
Rayachoti	రాయచోటి
Leap	లీపు
Dharmanna	ధర్మన్న
Venky	వెంకీ
Hazrat	హజ్రత్
Table	టేబుల్
Kokkupalem	కొక్కుపాలెం
Oorukichchina	ఊరికిచ్చిన
Intiguttu	ఇంటిగుట్టు
Narasimhan	నరసింహం
Jayeebhava	జయీభవ
motor	మోటారు
Protist	ప్రోటిస్టా
Antakshari	అంత్యాక్షరి
Pailla	పైళ్ల
Pulikonda	పుల్లికొండ
Harishena	హరిసేన
Montreal	మాంట్రియల్
Yaksha	యక్ష
Festival	ఫెస్టివల్
Reshma	రేష్మా
Seven	సెవెన్
Aatmabalam	ఆత్మబలం
Venkatalakshamma	వెంకటలక్షమ్మ
Taekwondo	టైక్వాండో
Gadeguduru	గాదెగూడూరు
Ellamanda	యల్లమంద
Ring	రింగు
Anubavi	అనుభవించు
Chandragupta	చంద్రగుప్త
Sulaf	సులాఫ్
Brahmaji	బ్రహ్మాజీ
Marina	మెరీనా
Ready	రెడీ
Annadata	అన్నదాత
Atlantic	అట్లాంటిక్
How	హౌ
hop	హాప్
College	కాలేజీ
Ammo	అమ్మో
Ruby	రూబి
Dhawan	ధవన్
Nallabelly	నల్లబెల్లి
Jawan	జవాన్
Nazriya	నజ్రియా
Ghatotkachudu	ఘటోత్కచుడు
Meduru	మేడూరు
Dot	డాట్
Phirangipuram	ఫిరంగిపురం
Capsicum	కాప్సికం
Koodankulam	కూడంకుళం
Kausar	కౌసర్‌
Vikramarka	విక్రమార్క
Bahudoorapu	బహుదూరపు
cable	కేబుల్
Upanayana	ఉపనయనము
Mirzoyan	మిర్జోయాన్
Balantrapu	బాలాంత్రపు
Bikkavolu	బిక్కవోలు
Offer	ఆఫర్
Indias	ఇండియాస్
Khanduri	ఖండూరి
Sankalp	సంకల్ప్
Punnaiah	పున్నయ్య
Tirusulam	తిరుసులం
Aparna	అపర్ణా
Janani	జననీ
Psycho	సైకో
Kanuka	కానుక
Gandlapenta	గాండ్లపెంట
Aayanaki	ఆయనకి
Tangutur	టంగుటూరు
Valley	వేల్లీ
Runanubandham	ఋణానుబంధం
Digambar	దిగంబర్
Sudigundalu	సుడిగుండాలు
Narasapurapupeta	నరసాపురపుపేట
Fawakherji	ఫవాకేర్జీ
Kodaikanal	కొడైకెనాల్
Vienna	వియన్నా
Mudaliar	మొదలియారు
Pedapulivarru	పెదపులివర్రు
Escape	ఎస్కేప్
Sucheta	సుచేతా
Nita	నీతా
Ramanujam	రామానుజం
Ashwatthama	అశ్వత్థామ
Sharat	శరత్
Kusarlapudi	కూసర్లపూడి
Cheers	చీర్స్
George	జార్జి
Denkada	డెంకాడ
Oye	ఓయ్
Qisse	కిస్సే
Patnam	పట్నం
Livermorium	లివర్మోరియం
Veerraju	వీర్రాజు
Mimosa	మైమోసా
Hinduja	హిందుజా
Sanyal	సన్యాల్
Pulimeru	పులిమేరు
Neknampur	నేకనాంపూర్
Annavaram	అన్నవరం
Joel	జోయెల్
Limca	లిమ్కా
Vikram	విక్రం
Samuel	శామ్యూల్
Thaali	తాళి
Arch	ఆర్చ్
Grammar	గ్రామర్
Nara	నారా
Ticket	టిక్కెట్టు
Panabaka	పనబాక
Banganapalle	బనగానపల్లె
Vauhini	వాహినీ
Staphylococcus	స్టెఫిలోకాకస్
Mundlamuru	ముండ్లమూరు
Kandriga	ఖండ్రిగ
Lisbon	లిస్బన్
syndrome	సిండ్రోమ్
Parvati	పార్వతీ
Mopidevi	మోపిదేవి
Spivak	స్పివాక్
Shiny	షైనీ
Bhimsingh	భీమ్‌సింగ్
Machine	మెషీన్
Rudhramadevi	రుద్రమదేవి
Sarcina	సార్సినా
Jorhat	జోర్హాట్
Kovvur	కొవ్వూరు
sulfate	సల్ఫేట్
Park	పార్క్
Chad	చాద్
Gosala	గోశాలుడు
Gidugu	గిడుగు
Sushilkumar	సుశీల్‌కుమార్
Clayface	క్లేఫేస్
Dommeru	దొమ్మేరు
Charusita	చారుసీతా
Trimurtulu	త్రిమూర్తులు
Akshay	అక్షయ్
The	ది
Pascal	పాస్కల్
Ashtalakshmi	అష్టలక్ష్మీ
Priyaragalu	ప్రియరాగాలు
calf	కాఫ్
Ghavri	ఘావ్రి
Kattunga	కత్తుంగ
Mrudangam	మృదంగం
Abbas	అబ్బాస్
Water	వాటర్
Columbia	కొలంబియా
Nekkallu	నెక్కల్లు
Akhil	అఖిల
Kepler	కెప్లర్
Galrani	గల్రానీ
Vempa	వెంప
Chavali	చావలి
Brahmotsavam	బ్రహ్మోత్సవాలు
Apte	ఆప్తే
Shiv	శివ
Emilio	ఏమిలియో
Keith	కీత్
Kabali	కబాలి
Percussion	పెర్‌కాసిన్‌
Sarubujjili	సరుబుజ్జిలి
Adiviravulapadu	అడివిరావులపాడు
Gokulamlo	గోకులంలో
Setu	సేతువు
Sriramachandrudu	శ్రీరామచంద్రుడు
Hebbatam	హెబ్బటం
Bhagat	భగత్
Disk	డిస్క్
Teji	తేజి
Bazaar	బజారు
Bhoomi	భూమి
Jaswant	జస్వంత్
Paksha	పక్షము
Poland	పోలాండ్
Hoysala	హొయసల
Darcys	డార్సీ
Vellanki	వెల్లంకి
Duttalur	దుత్తలూరు
Chettunnapadu	చెట్టున్నపాడు
Arati	ఆరతి
Sultana	సుల్తానా
Allare	అల్లరే
Explosion	ఎక్స్‌ప్లెసివ్
Clotrimazole	క్లోట్రిమజోల్
Barabar	బరాబర్
Nabokov	నబొకొవ్
Jammulapalem	జమ్ములపాలెం
Kannagi	కణ్ణగి
Bailiff	బైలిఫ్
Chimney	చిమ్నీ
rose	రోజ్
Kuwait	కువైట్
Routine	రొటీన్
Mupparru	ముప్పర్రు
Aakhari	ఆఖరి
Pakala	పాకాల
Lata	లతా
Goa	గోవా
Duryodhana	దుర్యోధన
Gopalakrishnan	గోపాలక్రిష్ణన్
Empire	ఎంపైర్
Rohit	రోహిత్
reader	రీడర్
Cube	క్యూబ్
Sundarbans	సుందర్‌బన్స్‌
Narayanadri	నారాయణాద్రి
Venapally	వెనపల్లి
Nindu	నిండు
Prathipadu	ప్రత్తిపాడు
Phantom	ఫాంటమ్
Koteeswarudu	కోటీశ్వరుడు
Vasanthapuram	వసంతపూర్
Singavaram	సింగవరం
Style	స్టైల్
Anaganaga	అనగనగా
Mypadu	మైపాడు
Constantinople	కాన్స్టాంటినోపుల్
Puraskara	పురస్కారం
Dragon	డ్రాగన్
Richardson	రిచర్డ్‌సన్
Sicily	సిసిలీ
Purushottam	పురుషోత్తమ
Deeksha	దీక్షా
Machareddy	మాచారెడ్డి
Aldeen	ఆల్డిన్
Duronto	దురంతో
Gunupur	గుణుపూర్
Dhone	డోన్
Khandoba	ఖండోబా
Sardesai	సర్దేశాయ్
Kirti	కీర్తి
Tejaswini	తేజస్వినీ
Norman	నార్మన్
Lawrence	లారెన్స్
Rajeru	రాజేరు
Nigeria	నైజీరియా
Dattirajeru	దత్తిరాజేరు
Vidya	విద్య
Bodyguard	బాడీగార్డ్
Adoni	ఆదోని
Molagavalli	మొలగవల్లి
Windows	విండోస్
Hanumanthunipadu	హనుమంతునిపాడు
Vadivelu	వడివేలు
Prakasam	ప్రకాశం
Mandamarri	మందమర్రి
Fukuoka	ఫుకుఒక
Mahinda	మహీంద
Fortune	ఫార్చూన్
Albert	అల్బర్ట్
Mudaliar	ముదలియార్
of	ఆఫ్‌
Institute	ఇన్‌స్టిట్యూట్‌
Tripuraram	త్రిపురారం
Sobers	సోబర్స్
Krishnaveni	కృష్ణవేణి
Upadhyaya	ఉపాధ్యాయ
Jikki	జిక్కి
Daughter	డాటర్
Kakarparthi	కాకరపర్తి
Thimmarajupally	తిమ్మరాజుపల్లె
Wintour	వింటర్
Palitana	పాలిటానా
Adam	ఆడమ్
Kathi	కత్తి
Tilismath	తిలిస్మాత్
Mycology	మైకాలజీ
Universal	యూనివర్సల్
Yadav	యాదవ్
Supreme	సుప్రీమ్
Sasaram	సాసారాం
Neelakantapuram	నీలకంఠపురం
